,track_id,track_name,artist,track_length,track_popularity,track_added,album_id,album_name,total_album_tracks,track_url,album_url,album_release_year
0,5p0iFOcN4kDKBqE9Tld5eJ,線香花火 - feat. 幾田りら,"CHIAKI SATO, Lilas Ikuta",3.3211,56,2023-06-19 13:19:04+00:00,4cq0K1U2cesCfyNVQkgBXu,線香花火 (feat. 幾田りら),1,https://open.spotify.com/track/5p0iFOcN4kDKBqE9Tld5eJ,https://open.spotify.com/album/4cq0K1U2cesCfyNVQkgBXu,2023
1,1EI12J2m1VnzHwFsLmHuDj,Croquis,KWON EUN BI,3.1268833333333332,46,2023-06-19 13:19:04+00:00,47TnhxiVVp5ZvvotLbFmKf,Lethality,6,https://open.spotify.com/track/1EI12J2m1VnzHwFsLmHuDj,https://open.spotify.com/album/47TnhxiVVp5ZvvotLbFmKf,2022
2,5chWJTznLQVlRCVbwxaB5N,Bonita,27Delly,1.8666666666666667,56,2023-06-19 13:19:04+00:00,4H4txT4dMDknveR0RjAw83,Bonita,1,https://open.spotify.com/track/5chWJTznLQVlRCVbwxaB5N,https://open.spotify.com/album/4H4txT4dMDknveR0RjAw83,2021
3,2SOoJnfRWOEeme123rd0B3,I Need A Thug,City Girls,1.9634333333333334,66,2023-06-19 13:19:04+00:00,23QZB0Q3annZYCOiKRB4Pl,I Need A Thug,1,https://open.spotify.com/track/2SOoJnfRWOEeme123rd0B3,https://open.spotify.com/album/23QZB0Q3annZYCOiKRB4Pl,2023
4,1C9Ws8tfcCcdLk06buoiSU,Haute,Janelle Monáe,1.6137666666666666,65,2023-06-19 13:19:04+00:00,3440hCSfwYXxJcbQ0j3jAJ,The Age of Pleasure,14,https://open.spotify.com/track/1C9Ws8tfcCcdLk06buoiSU,https://open.spotify.com/album/3440hCSfwYXxJcbQ0j3jAJ,2023
5,5iDrSIUAbuajDctFTGRRiR,Phenomenal (feat. Doechii),"Janelle Monáe, Doechii",3.6298666666666666,65,2023-06-19 13:19:04+00:00,3440hCSfwYXxJcbQ0j3jAJ,The Age of Pleasure,14,https://open.spotify.com/track/5iDrSIUAbuajDctFTGRRiR,https://open.spotify.com/album/3440hCSfwYXxJcbQ0j3jAJ,2023
6,3kmWIej9tXjSWWYc9tPjJk,COCO LOCO,Maluma,2.7789,80,2023-06-19 13:19:04+00:00,21HEULXdjdbOsXoR0ajBeB,COCO LOCO,1,https://open.spotify.com/track/3kmWIej9tXjSWWYc9tPjJk,https://open.spotify.com/album/21HEULXdjdbOsXoR0ajBeB,2023
7,4zPVMv84MMHehLNZYIS1Zv,Barbie Girl - Tiësto Remix,"Aqua, Tiësto",2.5846,63,2023-06-19 13:19:04+00:00,61gisYckDdbgK42QoJEl6c,Barbie Girl (Tiësto Remix),2,https://open.spotify.com/track/4zPVMv84MMHehLNZYIS1Zv,https://open.spotify.com/album/61gisYckDdbgK42QoJEl6c,2023
8,0CpfO9VNiW0OGIaZO6zO3n,Angel (From Barbie The Album),PinkPantheress,2.0636666666666668,75,2023-06-19 13:19:04+00:00,7zSG5WWbS0P7pXbk90gn5V,Angel (From Barbie The Album),1,https://open.spotify.com/track/0CpfO9VNiW0OGIaZO6zO3n,https://open.spotify.com/album/7zSG5WWbS0P7pXbk90gn5V,2023
9,5OLcsBO28uWHMzS0EEeZNp,Little Girl Gone,CHINCHILLA,3.143266666666667,81,2023-06-19 13:19:04+00:00,1vTHLsE6MttzdRfg2ZkU4I,Little Girl Gone,1,https://open.spotify.com/track/5OLcsBO28uWHMzS0EEeZNp,https://open.spotify.com/album/1vTHLsE6MttzdRfg2ZkU4I,2023
10,3stnrhzN0lzZFskbaZ5sEw,Scandalous - U.S. Radio Edit,Mis-Teeq,3.9806666666666666,62,2023-06-19 13:19:04+00:00,7fw8rAhWi3UWw92jgemhbZ,Mis-Teeq,13,https://open.spotify.com/track/3stnrhzN0lzZFskbaZ5sEw,https://open.spotify.com/album/7fw8rAhWi3UWw92jgemhbZ,2004
11,70ftmiU08HpSHxPD2dTnnh,Acapella,Kelis,4.1353333333333335,37,2023-06-19 13:19:04+00:00,48WnBKi4my14F8d34v4xRo,Flesh Tone,15,https://open.spotify.com/track/70ftmiU08HpSHxPD2dTnnh,https://open.spotify.com/album/48WnBKi4my14F8d34v4xRo,2010
12,5IFSvSEeCAvvBEQ85poqKB,Edge of Seventeen,Wuki,2.7340333333333335,76,2023-06-19 13:19:04+00:00,6oeEtPWpOfed7plMHI5qef,Edge of Seventeen,1,https://open.spotify.com/track/5IFSvSEeCAvvBEQ85poqKB,https://open.spotify.com/album/6oeEtPWpOfed7plMHI5qef,2022
13,4WxHTvd6N7h4J1NkbLURfP,Not About You (feat. Hadiya George),"Honey Dijon, Hadiya George",3.5078833333333335,34,2023-06-19 13:19:04+00:00,27hbmfsdUp1BKsCu2N4AFN,Black Girl Magic,15,https://open.spotify.com/track/4WxHTvd6N7h4J1NkbLURfP,https://open.spotify.com/album/27hbmfsdUp1BKsCu2N4AFN,2022
14,6kpCaRTygWNFNyFK7S3iSA,Let’s Sing Let’s Dance,박혜진 Park Hye Jin,3.8460833333333335,43,2023-06-19 13:19:04+00:00,0uBOsR6tRMSBEPe2dfOtNe,Before I Die,17,https://open.spotify.com/track/6kpCaRTygWNFNyFK7S3iSA,https://open.spotify.com/album/0uBOsR6tRMSBEPe2dfOtNe,2021
15,3Kuu5vASpXK8oRsxOvau6P,Think About You,"Kygo, Valerie Broussard",3.4761,60,2023-06-19 13:19:04+00:00,5vZy4cohzmdhOUGCdsUNpt,Think About You,1,https://open.spotify.com/track/3Kuu5vASpXK8oRsxOvau6P,https://open.spotify.com/album/5vZy4cohzmdhOUGCdsUNpt,2019
16,7AmpYll63PqYNEFuvD7qsR,Got To Be Real - Live (1998 Hammerstein Ballroom),"Patti LaBelle, Mariah Carey",3.4048833333333333,36,2023-06-19 13:19:04+00:00,41NC3NLp52ySKlH0t5bWF7,Live! One Night Only,22,https://open.spotify.com/track/7AmpYll63PqYNEFuvD7qsR,https://open.spotify.com/album/41NC3NLp52ySKlH0t5bWF7,1998
17,7MIhUdNJtaOnDmC5nBC1fb,Deep Down (feat. Never Dull),"Alok, Ella Eyre, Kenny Dope, Never Dull",2.7625333333333333,84,2023-06-19 13:19:04+00:00,3KpxpdySrMR2S7noneu1bI,Deep Down (feat. Never Dull),1,https://open.spotify.com/track/7MIhUdNJtaOnDmC5nBC1fb,https://open.spotify.com/album/3KpxpdySrMR2S7noneu1bI,2022
18,5lc9L9FeLBwlJPgEbq9uEw,Can You Get To That,Funkadelic,2.8309333333333333,66,2023-06-19 13:19:04+00:00,3ywVzrwMQ3Kq43N9zBdBQm,Maggot Brain,7,https://open.spotify.com/track/5lc9L9FeLBwlJPgEbq9uEw,https://open.spotify.com/album/3ywVzrwMQ3Kq43N9zBdBQm,1971
19,0o4HD0mOtTiHSbycbg4IpT,Hard Out Here.,RAYE,3.1860666666666666,62,2023-06-19 13:19:04+00:00,3U8n8LzBx2o9gYXvvNq4uH,My 21st Century Blues,15,https://open.spotify.com/track/0o4HD0mOtTiHSbycbg4IpT,https://open.spotify.com/album/3U8n8LzBx2o9gYXvvNq4uH,2023
